No,デフォ,種別,楽曲名,ﾕﾆｯﾄ,E,N,H,X,M,A,コンボ(EXP),コンボ(MAS),コンボ(APD),時間,BPM,MV,人数,配信日
52,10014,既,ローリンガール,0_VS,8,12,18,26,31,-,1156,1396,-,2:01,195,-,-,2020/11/14
53,22002,書,モア！ジャンプ！モア！,2_MMJ,9,13,18,26,31,30,1011,1257,1518,2:04,202,2D,-,2020/11/19
54,10015,既,裏表ラバーズ,0_VS,8,12,18,26,30,-,1017,1151,-,1:51,159,-,-,2020/11/21
55,10016,既,アンノウン・マザーグース,0_VS,8,12,17,26,30,-,1080,1292,-,2:17,222,-,-,2020/11/23
56,10017,既,愛されなくても君がいる,0_VS,7,12,16,23,27,-,0914,1075,-,2:20,150,原曲,-,2020/11/30
57,11006,既,ウミユリ海底譚,1_L/n,6,13,17,23,28,-,0737,0833,-,1:43,120,2D/3D,5,2020/12/01
58,23002,書,Forward,3_VBS,6,11,16,24,28,-,0737,0895,-,1:55,140,2D/3D,5,2020/12/08
59,15006,既,独りんぼエンヴィー,5_25,6,11,16,22,26,-,0544,0589,-,1:15,132,2D/3D,3,2020/12/14
60,24003,書,ニジイロストーリーズ,4_WxS,9,13,18,25,29,-,0881,1054,-,2:02,230*,2D,-,2020/12/20
61,10018,既,ODDS＆ENDS,0_VS,8,12,18,24,29,-,0739,0921,-,1:34,192,-,-,2020/12/24
62,11007,既,ドラマツルギー,1_L/n,7,12,17,25,29,-,0747,0862,-,1:35,149,原曲,-,2020/12/28
63,10019,既,グリーンライツ・セレナーデ,0_VS,9,14,19,27,31,-,1034,1174,-,2:05,200,原曲,-,2020/12/29
64,12007,既,恋愛裁判,2_MMJ,6,12,17,22,28,-,0889,1149,-,2:13,134,原曲/2D,-,2020/12/30
65,10020,既,＊ハロー、プラネット。,0_VS,6,10,17,24,29,-,0931,1076,-,1:58,150,原曲,-,2020/12/31
66,10021,既,千本桜,0_VS,7,14,20,26,32,-,1000,1257,-,2:04,154,-,-,2021/01/01
67,13006,既,ECHO,3_VBS,6,12,16,23,26,-,0659,0805,-,1:39,140,2D,-,2021/01/02
68,14007,既,チュルリラ・チュルリラ・ダッダッダ！,4_WxS,9,13,18,26,31,-,1246,1401,-,2:23,220,2D/3D,4,2021/01/03
69,10022,既,ブレス・ユア・ブレス,0_VS,7,13,17,24,29,-,0696,0873,-,1:35,152,原曲,-,2021/01/04
70,15007,既,とても痛い痛がりたい,5_25,6,13,18,23,28,-,0817,0915,-,1:53,140,-,-,2021/01/05
71,21003,書,霽れを待つ,1_L/n,7,12,17,26,31,-,0974,1106,-,1:54,168,2D,-,2021/01/10
72,10023,既,ワールズエンド・ダンスホール,0_VS,7,12,18,26,30,-,0957,1044,-,1:43,171,-,-,2021/01/14
73,10024,既,ヒビカセ,0_VS,7,12,17,25,28,-,0898,1019,-,1:55,140,原曲,-,2021/01/18
74,22003,書,Color of Drops,2_MMJ,6,12,16,23,28,26,0796,0918,1028,1:54,152,3D,5,2021/01/29
75,23003,書,RAD DOGS,3_VBS,6,12,18,26,30,-,1067,1197,-,2:20,140,2D,-,2021/01/31
76,12008,既,ミルククラウン・オン・ソーネチカ,2_MMJ,7,13,18,26,30,-,1025,1226,-,2:15,127.5,2D,-,2021/02/06
77,11008,既,タイムマシン,1_L/n,6,11,16,23,27,-,0719,0903,-,2:05,126,2D/3D,5,2021/02/10
